ct_codigo,ct,cg_codigo,cg,intensidad,justificacion
CT-02,Turismo local y servicios de experiencia,CG-02,Comunicación efectiva,Alta,"La práctica técnica Turismo local y servicios de experiencia fortalece Comunicación efectiva mediante proyectos reales, evidencia y servicio comunitario."
CT-02,Turismo local y servicios de experiencia,CG-03,Trabajo en equipo,Alta,"La práctica técnica Turismo local y servicios de experiencia fortalece Trabajo en equipo mediante proyectos reales, evidencia y servicio comunitario."
CT-02,Turismo local y servicios de experiencia,CG-04,Iniciativa y creatividad,Alta,"La práctica técnica Turismo local y servicios de experiencia fortalece Iniciativa y creatividad mediante proyectos reales, evidencia y servicio comunitario."
CT-02,Turismo local y servicios de experiencia,CG-05,Aprendizaje continuo,Media,"La práctica técnica Turismo local y servicios de experiencia fortalece Aprendizaje continuo mediante proyectos reales, evidencia y servicio comunitario."
CT-02,Turismo local y servicios de experiencia,CG-06,Responsabilidad y ética,Media,"La práctica técnica Turismo local y servicios de experiencia fortalece Responsabilidad y ética mediante proyectos reales, evidencia y servicio comunitario."
CT-02,Turismo local y servicios de experiencia,CG-07,Orientación a resultados,Alta,"La práctica técnica Turismo local y servicios de experiencia fortalece Orientación a resultados mediante proyectos reales, evidencia y servicio comunitario."
CT-02,Turismo local y servicios de experiencia,CG-08,Liderazgo comunitario,Media,"La práctica técnica Turismo local y servicios de experiencia fortalece Liderazgo comunitario mediante proyectos reales, evidencia y servicio comunitario."
CT-02,Turismo local y servicios de experiencia,CG-09,Planificación y organización,Alta,"La práctica técnica Turismo local y servicios de experiencia fortalece Planificación y organización mediante proyectos reales, evidencia y servicio comunitario."
CT-02,Turismo local y servicios de experiencia,CG-10,Adaptabilidad y resiliencia,Media,"La práctica técnica Turismo local y servicios de experiencia fortalece Adaptabilidad y resiliencia mediante proyectos reales, evidencia y servicio comunitario."
CT-03,Agricultura y agroprocesamiento,CG-01,Orientación al ciudadano y a la comunidad,Alta,"La práctica técnica Agricultura y agroprocesamiento fortalece Orientación al ciudadano y a la comunidad mediante proyectos reales, evidencia y servicio comunitario."
CT-03,Agricultura y agroprocesamiento,CG-02,Comunicación efectiva,Alta,"La práctica técnica Agricultura y agroprocesamiento fortalece Comunicación efectiva mediante proyectos reales, evidencia y servicio comunitario."
CT-03,Agricultura y agroprocesamiento,CG-03,Trabajo en equipo,Alta,"La práctica técnica Agricultura y agroprocesamiento fortalece Trabajo en equipo mediante proyectos reales, evidencia y servicio comunitario."
CT-03,Agricultura y agroprocesamiento,CG-04,Iniciativa y creatividad,Alta,"La práctica técnica Agricultura y agroprocesamiento fortalece Iniciativa y creatividad mediante proyectos reales, evidencia y servicio comunitario."
CT-03,Agricultura y agroprocesamiento,CG-05,Aprendizaje continuo,Media,"La práctica técnica Agricultura y agroprocesamiento fortalece Aprendizaje continuo mediante proyectos reales, evidencia y servicio comunitario."
CT-03,Agricultura y agroprocesamiento,CG-06,Responsabilidad y ética,Media,"La práctica técnica Agricultura y agroprocesamiento fortalece Responsabilidad y ética mediante proyectos reales, evidencia y servicio comunitario."
CT-03,Agricultura y agroprocesamiento,CG-07,Orientación a resultados,Alta,"La práctica técnica Agricultura y agroprocesamiento fortalece Orientación a resultados mediante proyectos reales, evidencia y servicio comunitario."
CT-03,Agricultura y agroprocesamiento,CG-08,Liderazgo comunitario,Media,"La práctica técnica Agricultura y agroprocesamiento fortalece Liderazgo comunitario mediante proyectos reales, evidencia y servicio comunitario."
CT-03,Agricultura y agroprocesamiento,CG-09,Planificación y organización,Alta,"La práctica técnica Agricultura y agroprocesamiento fortalece Planificación y organización mediante proyectos reales, evidencia y servicio comunitario."
CT-03,Agricultura y agroprocesamiento,CG-10,Adaptabilidad y resiliencia,Media,"La práctica técnica Agricultura y agroprocesamiento fortalece Adaptabilidad y resiliencia mediante proyectos reales, evidencia y servicio comunitario."
CT-04,Ganadería y alimentos,CG-01,Orientación al ciudadano y a la comunidad,Alta,"La práctica técnica Ganadería y alimentos fortalece Orientación al ciudadano y a la comunidad mediante proyectos reales, evidencia y servicio comunitario."
CT-04,Ganadería y alimentos,CG-02,Comunicación efectiva,Alta,"La práctica técnica Ganadería y alimentos fortalece Comunicación efectiva mediante proyectos reales, evidencia y servicio comunitario."
CT-04,Ganadería y alimentos,CG-03,Trabajo en equipo,Alta,"La práctica técnica Ganadería y alimentos fortalece Trabajo en equipo mediante proyectos reales, evidencia y servicio comunitario."
CT-04,Ganadería y alimentos,CG-04,Iniciativa y creatividad,Alta,"La práctica técnica Ganadería y alimentos fortalece Iniciativa y creatividad mediante proyectos reales, evidencia y servicio comunitario."
CT-04,Ganadería y alimentos,CG-05,Aprendizaje continuo,Media,"La práctica técnica Ganadería y alimentos fortalece Aprendizaje continuo mediante proyectos reales, evidencia y servicio comunitario."
CT-04,Ganadería y alimentos,CG-06,Responsabilidad y ética,Media,"La práctica técnica Ganadería y alimentos fortalece Responsabilidad y ética mediante proyectos reales, evidencia y servicio comunitario."
CT-04,Ganadería y alimentos,CG-07,Orientación a resultados,Alta,"La práctica técnica Ganadería y alimentos fortalece Orientación a resultados mediante proyectos reales, evidencia y servicio comunitario."
CT-04,Ganadería y alimentos,CG-08,Liderazgo comunitario,Media,"La práctica técnica Ganadería y alimentos fortalece Liderazgo comunitario mediante proyectos reales, evidencia y servicio comunitario."
CT-04,Ganadería y alimentos,CG-09,Planificación y organización,Alta,"La práctica técnica Ganadería y alimentos fortalece Planificación y organización mediante proyectos reales, evidencia y servicio comunitario."
CT-04,Ganadería y alimentos,CG-10,Adaptabilidad y resiliencia,Media,"La práctica técnica Ganadería y alimentos fortalece Adaptabilidad y resiliencia mediante proyectos reales, evidencia y servicio comunitario."
CT-05,Mantenimiento y manufactura ligera,CG-01,Orientación al ciudadano y a la comunidad,Alta,"La práctica técnica Mantenimiento y manufactura ligera fortalece Orientación al ciudadano y a la comunidad mediante proyectos reales, evidencia y servicio comunitario."
CT-05,Mantenimiento y manufactura ligera,CG-02,Comunicación efectiva,Alta,"La práctica técnica Mantenimiento y manufactura ligera fortalece Comunicación efectiva mediante proyectos reales, evidencia y servicio comunitario."
CT-05,Mantenimiento y manufactura ligera,CG-03,Trabajo en equipo,Alta,"La práctica técnica Mantenimiento y manufactura ligera fortalece Trabajo en equipo mediante proyectos reales, evidencia y servicio comunitario."
CT-05,Mantenimiento y manufactura ligera,CG-04,Iniciativa y creatividad,Alta,"La práctica técnica Mantenimiento y manufactura ligera fortalece Iniciativa y creatividad mediante proyectos reales, evidencia y servicio comunitario."
CT-05,Mantenimiento y manufactura ligera,CG-05,Aprendizaje continuo,Media,"La práctica técnica Mantenimiento y manufactura ligera fortalece Aprendizaje continuo mediante proyectos reales, evidencia y servicio comunitario."
CT-05,Mantenimiento y manufactura ligera,CG-06,Responsabilidad y ética,Media,"La práctica técnica Mantenimiento y manufactura ligera fortalece Responsabilidad y ética mediante proyectos reales, evidencia y servicio comunitario."
CT-05,Mantenimiento y manufactura ligera,CG-07,Orientación a resultados,Alta,"La práctica técnica Mantenimiento y manufactura ligera fortalece Orientación a resultados mediante proyectos reales, evidencia y servicio comunitario."
CT-05,Mantenimiento y manufactura ligera,CG-08,Liderazgo comunitario,Media,"La práctica técnica Mantenimiento y manufactura ligera fortalece Liderazgo comunitario mediante proyectos reales, evidencia y servicio comunitario."
CT-05,Mantenimiento y manufactura ligera,CG-09,Planificación y organización,Alta,"La práctica técnica Mantenimiento y manufactura ligera fortalece Planificación y organización mediante proyectos reales, evidencia y servicio comunitario."
CT-05,Mantenimiento y manufactura ligera,CG-10,Adaptabilidad y resiliencia,Media,"La práctica técnica Mantenimiento y manufactura ligera fortalece Adaptabilidad y resiliencia mediante proyectos reales, evidencia y servicio comunitario."
CT-06,Agua segura y saneamiento local,CG-01,Orientación al ciudadano y a la comunidad,Alta,"La práctica técnica Agua segura y saneamiento local fortalece Orientación al ciudadano y a la comunidad mediante proyectos reales, evidencia y servicio comunitario."
CT-06,Agua segura y saneamiento local,CG-02,Comunicación efectiva,Alta,"La práctica técnica Agua segura y saneamiento local fortalece Comunicación efectiva mediante proyectos reales, evidencia y servicio comunitario."
CT-06,Agua segura y saneamiento local,CG-03,Trabajo en equipo,Alta,"La práctica técnica Agua segura y saneamiento local fortalece Trabajo en equipo mediante proyectos reales, evidencia y servicio comunitario."
CT-06,Agua segura y saneamiento local,CG-04,Iniciativa y creatividad,Alta,"La práctica técnica Agua segura y saneamiento local fortalece Iniciativa y creatividad mediante proyectos reales, evidencia y servicio comunitario."
CT-06,Agua segura y saneamiento local,CG-05,Aprendizaje continuo,Media,"La práctica técnica Agua segura y saneamiento local fortalece Aprendizaje continuo mediante proyectos reales, evidencia y servicio comunitario."
CT-06,Agua segura y saneamiento local,CG-06,Responsabilidad y ética,Media,"La práctica técnica Agua segura y saneamiento local fortalece Responsabilidad y ética mediante proyectos reales, evidencia y servicio comunitario."
CT-06,Agua segura y saneamiento local,CG-07,Orientación a resultados,Alta,"La práctica técnica Agua segura y saneamiento local fortalece Orientación a resultados mediante proyectos reales, evidencia y servicio comunitario."
CT-06,Agua segura y saneamiento local,CG-08,Liderazgo comunitario,Media,"La práctica técnica Agua segura y saneamiento local fortalece Liderazgo comunitario mediante proyectos reales, evidencia y servicio comunitario."
CT-06,Agua segura y saneamiento local,CG-09,Planificación y organización,Alta,"La práctica técnica Agua segura y saneamiento local fortalece Planificación y organización mediante proyectos reales, evidencia y servicio comunitario."
CT-06,Agua segura y saneamiento local,CG-10,Adaptabilidad y resiliencia,Media,"La práctica técnica Agua segura y saneamiento local fortalece Adaptabilidad y resiliencia mediante proyectos reales, evidencia y servicio comunitario."
CT-07,Energía comunitaria y servicios técnicos,CG-01,Orientación al ciudadano y a la comunidad,Alta,"La práctica técnica Energía comunitaria y servicios técnicos fortalece Orientación al ciudadano y a la comunidad mediante proyectos reales, evidencia y servicio comunitario."
CT-07,Energía comunitaria y servicios técnicos,CG-02,Comunicación efectiva,Alta,"La práctica técnica Energía comunitaria y servicios técnicos fortalece Comunicación efectiva mediante proyectos reales, evidencia y servicio comunitario."
CT-07,Energía comunitaria y servicios técnicos,CG-03,Trabajo en equipo,Alta,"La práctica técnica Energía comunitaria y servicios técnicos fortalece Trabajo en equipo mediante proyectos reales, evidencia y servicio comunitario."
CT-07,Energía comunitaria y servicios técnicos,CG-04,Iniciativa y creatividad,Alta,"La práctica técnica Energía comunitaria y servicios técnicos fortalece Iniciativa y creatividad mediante proyectos reales, evidencia y servicio comunitario."
CT-07,Energía comunitaria y servicios técnicos,CG-05,Aprendizaje continuo,Media,"La práctica técnica Energía comunitaria y servicios técnicos fortalece Aprendizaje continuo mediante proyectos reales, evidencia y servicio comunitario."
CT-07,Energía comunitaria y servicios técnicos,CG-06,Responsabilidad y ética,Media,"La práctica técnica Energía comunitaria y servicios técnicos fortalece Responsabilidad y ética mediante proyectos reales, evidencia y servicio comunitario."
CT-07,Energía comunitaria y servicios técnicos,CG-07,Orientación a resultados,Alta,"La práctica técnica Energía comunitaria y servicios técnicos fortalece Orientación a resultados mediante proyectos reales, evidencia y servicio comunitario."
CT-07,Energía comunitaria y servicios técnicos,CG-08,Liderazgo comunitario,Media,"La práctica técnica Energía comunitaria y servicios técnicos fortalece Liderazgo comunitario mediante proyectos reales, evidencia y servicio comunitario."
CT-07,Energía comunitaria y servicios técnicos,CG-09,Planificación y organización,Alta,"La práctica técnica Energía comunitaria y servicios técnicos fortalece Planificación y organización mediante proyectos reales, evidencia y servicio comunitario."
CT-07,Energía comunitaria y servicios técnicos,CG-10,Adaptabilidad y resiliencia,Media,"La práctica técnica Energía comunitaria y servicios técnicos fortalece Adaptabilidad y resiliencia mediante proyectos reales, evidencia y servicio comunitario."
CT-08,Comercio digital y microempresa,CG-01,Orientación al ciudadano y a la comunidad,Alta,"La práctica técnica Comercio digital y microempresa fortalece Orientación al ciudadano y a la comunidad mediante proyectos reales, evidencia y servicio comunitario."
CT-08,Comercio digital y microempresa,CG-02,Comunicación efectiva,Alta,"La práctica técnica Comercio digital y microempresa fortalece Comunicación efectiva mediante proyectos reales, evidencia y servicio comunitario."
CT-08,Comercio digital y microempresa,CG-03,Trabajo en equipo,Alta,"La práctica técnica Comercio digital y microempresa fortalece Trabajo en equipo mediante proyectos reales, evidencia y servicio comunitario."
CT-08,Comercio digital y microempresa,CG-04,Iniciativa y creatividad,Alta,"La práctica técnica Comercio digital y microempresa fortalece Iniciativa y creatividad mediante proyectos reales, evidencia y servicio comunitario."
CT-08,Comercio digital y microempresa,CG-05,Aprendizaje continuo,Media,"La práctica técnica Comercio digital y microempresa fortalece Aprendizaje continuo mediante proyectos reales, evidencia y servicio comunitario."
CT-08,Comercio digital y microempresa,CG-06,Responsabilidad y ética,Media,"La práctica técnica Comercio digital y microempresa fortalece Responsabilidad y ética mediante proyectos reales, evidencia y servicio comunitario."
CT-08,Comercio digital y microempresa,CG-07,Orientación a resultados,Alta,"La práctica técnica Comercio digital y microempresa fortalece Orientación a resultados mediante proyectos reales, evidencia y servicio comunitario."
CT-08,Comercio digital y microempresa,CG-08,Liderazgo comunitario,Media,"La práctica técnica Comercio digital y microempresa fortalece Liderazgo comunitario mediante proyectos reales, evidencia y servicio comunitario."
CT-08,Comercio digital y microempresa,CG-09,Planificación y organización,Alta,"La práctica técnica Comercio digital y microempresa fortalece Planificación y organización mediante proyectos reales, evidencia y servicio comunitario."
CT-08,Comercio digital y microempresa,CG-10,Adaptabilidad y resiliencia,Media,"La práctica técnica Comercio digital y microempresa fortalece Adaptabilidad y resiliencia mediante proyectos reales, evidencia y servicio comunitario."
CT-09,Cartografía social y monitoreo territorial,CG-01,Orientación al ciudadano y a la comunidad,Alta,"La práctica técnica Cartografía social y monitoreo territorial fortalece Orientación al ciudadano y a la comunidad mediante proyectos reales, evidencia y servicio comunitario."
CT-09,Cartografía social y monitoreo territorial,CG-02,Comunicación efectiva,Alta,"La práctica técnica Cartografía social y monitoreo territorial fortalece Comunicación efectiva mediante proyectos reales, evidencia y servicio comunitario."
CT-09,Cartografía social y monitoreo territorial,CG-03,Trabajo en equipo,Alta,"La práctica técnica Cartografía social y monitoreo territorial fortalece Trabajo en equipo mediante proyectos reales, evidencia y servicio comunitario."
CT-09,Cartografía social y monitoreo territorial,CG-04,Iniciativa y creatividad,Alta,"La práctica técnica Cartografía social y monitoreo territorial fortalece Iniciativa y creatividad mediante proyectos reales, evidencia y servicio comunitario."
CT-09,Cartografía social y monitoreo territorial,CG-05,Aprendizaje continuo,Media,"La práctica técnica Cartografía social y monitoreo territorial fortalece Aprendizaje continuo mediante proyectos reales, evidencia y servicio comunitario."
CT-09,Cartografía social y monitoreo territorial,CG-06,Responsabilidad y ética,Media,"La práctica técnica Cartografía social y monitoreo territorial fortalece Responsabilidad y ética mediante proyectos reales, evidencia y servicio comunitario."
CT-09,Cartografía social y monitoreo territorial,CG-07,Orientación a resultados,Alta,"La práctica técnica Cartografía social y monitoreo territorial fortalece Orientación a resultados mediante proyectos reales, evidencia y servicio comunitario."
CT-09,Cartografía social y monitoreo territorial,CG-08,Liderazgo comunitario,Media,"La práctica técnica Cartografía social y monitoreo territorial fortalece Liderazgo comunitario mediante proyectos reales, evidencia y servicio comunitario."
CT-09,Cartografía social y monitoreo territorial,CG-09,Planificación y organización,Alta,"La práctica técnica Cartografía social y monitoreo territorial fortalece Planificación y organización mediante proyectos reales, evidencia y servicio comunitario."
CT-09,Cartografía social y monitoreo territorial,CG-10,Adaptabilidad y resiliencia,Media,"La práctica técnica Cartografía social y monitoreo territorial fortalece Adaptabilidad y resiliencia mediante proyectos reales, evidencia y servicio comunitario."
CT-10,"Artesanía, cultura e industrias creativas",CG-01,Orientación al ciudadano y a la comunidad,Alta,"La práctica técnica Artesanía, cultura e industrias creativas fortalece Orientación al ciudadano y a la comunidad mediante proyectos reales, evidencia y servicio comunitario."
CT-10,"Artesanía, cultura e industrias creativas",CG-02,Comunicación efectiva,Alta,"La práctica técnica Artesanía, cultura e industrias creativas fortalece Comunicación efectiva mediante proyectos reales, evidencia y servicio comunitario."
CT-10,"Artesanía, cultura e industrias creativas",CG-03,Trabajo en equipo,Alta,"La práctica técnica Artesanía, cultura e industrias creativas fortalece Trabajo en equipo mediante proyectos reales, evidencia y servicio comunitario."
CT-10,"Artesanía, cultura e industrias creativas",CG-04,Iniciativa y creatividad,Alta,"La práctica técnica Artesanía, cultura e industrias creativas fortalece Iniciativa y creatividad mediante proyectos reales, evidencia y servicio comunitario."
CT-10,"Artesanía, cultura e industrias creativas",CG-05,Aprendizaje continuo,Media,"La práctica técnica Artesanía, cultura e industrias creativas fortalece Aprendizaje continuo mediante proyectos reales, evidencia y servicio comunitario."
CT-10,"Artesanía, cultura e industrias creativas",CG-06,Responsabilidad y ética,Media,"La práctica técnica Artesanía, cultura e industrias creativas fortalece Responsabilidad y ética mediante proyectos reales, evidencia y servicio comunitario."
CT-10,"Artesanía, cultura e industrias creativas",CG-07,Orientación a resultados,Alta,"La práctica técnica Artesanía, cultura e industrias creativas fortalece Orientación a resultados mediante proyectos reales, evidencia y servicio comunitario."
CT-10,"Artesanía, cultura e industrias creativas",CG-08,Liderazgo comunitario,Media,"La práctica técnica Artesanía, cultura e industrias creativas fortalece Liderazgo comunitario mediante proyectos reales, evidencia y servicio comunitario."
CT-10,"Artesanía, cultura e industrias creativas",CG-09,Planificación y organización,Alta,"La práctica técnica Artesanía, cultura e industrias creativas fortalece Planificación y organización mediante proyectos reales, evidencia y servicio comunitario."
CT-10,"Artesanía, cultura e industrias creativas",CG-10,Adaptabilidad y resiliencia,Media,"La práctica técnica Artesanía, cultura e industrias creativas fortalece Adaptabilidad y resiliencia mediante proyectos reales, evidencia y servicio comunitario."
